id,model,disease,property,question,ground_truth,prompt,llm_answer
1,tinyllama,Phenylketonuria,hasInheritancePattern,What is the inheritance pattern of Phenylketonuria?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Phenylketonuria
Treatment: Low-Phenylalanine Diet
Accumulated Metabolite: Phenylalanine
Deficient Enzyme: Phenylalanine Hydroxylase
Symptoms: Intellectual Disability, Microcephaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: PAH

=== QUESTION ===
What is the inheritance pattern of Phenylketonuria?

=== ANSWER ===
","Based on the provided knowledge, Phenylketonuria has an autosomal recessive inheritance pattern."
2,tinyllama,Phenylketonuria,treatedWith,How is Phenylketonuria treated?,Low-Phenylalanine Diet,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Phenylketonuria
Treatment: Low-Phenylalanine Diet
Accumulated Metabolite: Phenylalanine
Deficient Enzyme: Phenylalanine Hydroxylase
Symptoms: Intellectual Disability, Microcephaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: PAH

=== QUESTION ===
How is Phenylketonuria treated?

=== ANSWER ===
","I don't have access to current medical information or research. Therefore, I cannot provide specific treatments for phenylketonuria based on the knowledge provided. It is recommended that you consult with a healthcare professional for more detailed information regarding phenylahanine treatment options."
3,tinyllama,Phenylketonuria,hasDeficientEnzyme,Which enzyme is deficient in Phenylketonuria?,Phenylalanine Hydroxylase,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Phenylketonuria
Treatment: Low-Phenylalanine Diet
Accumulated Metabolite: Phenylalanine
Deficient Enzyme: Phenylalanine Hydroxylase
Symptoms: Intellectual Disability, Microcephaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: PAH

=== QUESTION ===
Which enzyme is deficient in Phenylketonuria?

=== ANSWER ===
","Based on the provided knowledge, the question is asking about a deficiency of a particular enzyme caused by phenylacetaldehyde (Phenylketonuria), and not any other genetic or environmental cause. The given answer is ""Enzyme: Phenylaanine Hydroxylasen."""
4,tinyllama,Phenylketonuria,hasSymptom,What symptoms are associated with Phenylketonuria?,Intellectual Disability; Microcephaly,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Phenylketonuria
Treatment: Low-Phenylalanine Diet
Accumulated Metabolite: Phenylalanine
Deficient Enzyme: Phenylalanine Hydroxylase
Symptoms: Intellectual Disability, Microcephaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: PAH

=== QUESTION ===
What symptoms are associated with Phenylketonuria?

=== ANSWER ===
","Based on the provided knowledge, the answer to the question is: Phenylketonuria causes intellectual disability and microcephaly."
5,tinyllama,Phenylketonuria,accumulatesMetabolite,Which metabolite accumulates in Phenylketonuria?,Phenylalanine,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Phenylketonuria
Treatment: Low-Phenylalanine Diet
Accumulated Metabolite: Phenylalanine
Deficient Enzyme: Phenylalanine Hydroxylase
Symptoms: Intellectual Disability, Microcephaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: PAH

=== QUESTION ===
Which metabolite accumulates in Phenylketonuria?

=== ANSWER ===
","The answer to the question is ""Phenylahanine"", which accumulates in Phenylketonuria."
6,tinyllama,Phenylketonuria,hasCausativeGene,Which gene causes Phenylketonuria?,PAH,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Phenylketonuria
Treatment: Low-Phenylalanine Diet
Accumulated Metabolite: Phenylalanine
Deficient Enzyme: Phenylalanine Hydroxylase
Symptoms: Intellectual Disability, Microcephaly
Inheritance Pattern: Autosomal Recessive
Causative Gene: PAH

=== QUESTION ===
Which gene causes Phenylketonuria?

=== ANSWER ===
","The answer to the given question is not present in the provided knowledge. The bioMedical assistant only uses knowledge based on the specific case. If you have any further questions regarding this subject matter, please do not hesitate to contact our customer support team."
7,tinyllama,Maple Syrup Urine Disease,hasInheritancePattern,What is the inheritance pattern of Maple Syrup Urine Disease?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Maple Syrup Urine Disease
Treatment: Branched-Chain Amino Acid Restricted Diet
Accumulated Metabolite: Leucine
Deficient Enzyme: Branched-Chain Alpha-Ketoacid Dehydrogenase
Symptoms: Encephalopathy, Sweet-Smelling Urine
Inheritance Pattern: Autosomal Recessive
Causative Gene: BCKDHA

=== QUESTION ===
What is the inheritance pattern of Maple Syrup Urine Disease?

=== ANSWER ===
","Based on the provided knowledge, the inheritance pattern for Maple Syrup Urine Disease is Autosomal Receessive."
8,tinyllama,Maple Syrup Urine Disease,treatedWith,How is Maple Syrup Urine Disease treated?,Branched-Chain Amino Acid Restricted Diet,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Maple Syrup Urine Disease
Treatment: Branched-Chain Amino Acid Restricted Diet
Accumulated Metabolite: Leucine
Deficient Enzyme: Branched-Chain Alpha-Ketoacid Dehydrogenase
Symptoms: Encephalopathy, Sweet-Smelling Urine
Inheritance Pattern: Autosomal Recessive
Causative Gene: BCKDHA

=== QUESTION ===
How is Maple Syrup Urine Disease treated?

=== ANSWER ===
","Based on the knowledge provided, the correct answer to the question ""How is Maple Syrup Urine Disease treated?"" is:

Disease: Maple Syrup Uriine Disease (MSUD) treatment involves a specific diet and specific therapy. Symptoms may improve with the use of a branched-chain amino acid restricted diet, which limits the intake of leucine, isoleucine, and valine. In some cases, medication may also be prescribed to control symptoms such as swelling or difficulty breathing."
9,tinyllama,Maple Syrup Urine Disease,hasDeficientEnzyme,Which enzyme is deficient in Maple Syrup Urine Disease?,Branched-Chain Alpha-Ketoacid Dehydrogenase,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Maple Syrup Urine Disease
Treatment: Branched-Chain Amino Acid Restricted Diet
Accumulated Metabolite: Leucine
Deficient Enzyme: Branched-Chain Alpha-Ketoacid Dehydrogenase
Symptoms: Encephalopathy, Sweet-Smelling Urine
Inheritance Pattern: Autosomal Recessive
Causative Gene: BCKDHA

=== QUESTION ===
Which enzyme is deficient in Maple Syrup Urine Disease?

=== ANSWER ===
",The enzyme that is deficient in Maple Syrup Urine Disease is Branched-Chain Alpha-Ketoacid Dehydogenase.
10,tinyllama,Maple Syrup Urine Disease,hasSymptom,What symptoms are associated with Maple Syrup Urine Disease?,Encephalopathy; Sweet-Smelling Urine,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Maple Syrup Urine Disease
Treatment: Branched-Chain Amino Acid Restricted Diet
Accumulated Metabolite: Leucine
Deficient Enzyme: Branched-Chain Alpha-Ketoacid Dehydrogenase
Symptoms: Encephalopathy, Sweet-Smelling Urine
Inheritance Pattern: Autosomal Recessive
Causative Gene: BCKDHA

=== QUESTION ===
What symptoms are associated with Maple Syrup Urine Disease?

=== ANSWER ===
","I do not have the knowledge of specific diseases or conditions associated with maple syrup urine disorder. The provided knowledge is based on genetic, environmental, and metabolic factors that can trigger or exacerbate symptoms associated with the disease."
11,tinyllama,Maple Syrup Urine Disease,accumulatesMetabolite,Which metabolite accumulates in Maple Syrup Urine Disease?,Leucine,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Maple Syrup Urine Disease
Treatment: Branched-Chain Amino Acid Restricted Diet
Accumulated Metabolite: Leucine
Deficient Enzyme: Branched-Chain Alpha-Ketoacid Dehydrogenase
Symptoms: Encephalopathy, Sweet-Smelling Urine
Inheritance Pattern: Autosomal Recessive
Causative Gene: BCKDHA

=== QUESTION ===
Which metabolite accumulates in Maple Syrup Urine Disease?

=== ANSWER ===
",I don't know based on the provided knowledge.
12,tinyllama,Maple Syrup Urine Disease,hasCausativeGene,Which gene causes Maple Syrup Urine Disease?,BCKDHA,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Maple Syrup Urine Disease
Treatment: Branched-Chain Amino Acid Restricted Diet
Accumulated Metabolite: Leucine
Deficient Enzyme: Branched-Chain Alpha-Ketoacid Dehydrogenase
Symptoms: Encephalopathy, Sweet-Smelling Urine
Inheritance Pattern: Autosomal Recessive
Causative Gene: BCKDHA

=== QUESTION ===
Which gene causes Maple Syrup Urine Disease?

=== ANSWER ===
","According to the given knowledge, the gene causing Maple Syrup Uriine Disease (a disorder that affects the brain and causes swelling in the face) is not known. It is only known that this disease is caused by a specific mutation in the BCKDHA gene, which may result in a reduced expression of the gene, leading to Maple Syrup Uriine Disease."
