id,model,disease,property,question,ground_truth,llm_answer
1,tinyllama,Phenylketonuria,hasInheritancePattern,What is the inheritance pattern of Phenylketonuria?,Autosomal Recessive,"Phenylketonuria (PKU) is a genetic disorder characterized by high levels of phenylalanine in blood and other tissues, resulting from decreased activity of enzymes involved in the metabolism of tryptophan (a dietary amino acid containing phenylalanine). The disorder is caused by a mutation in the PIT1 gene, which encodes a protein called phenylacetylglycinamide, or PAG.

In PKU, there is an imbalance between tryptophan metabolism and phenylalanine breakdown. As a result, the body produces uncontrolled amounts of both tryptophan and phenylalanine in blood and other tissues, leading to high levels of these amino acids. This can lead to severe neurological symptoms such as seizures, developmental delay, intellectual disability, and behavioral problems.

Inheritance is a complex process where genes are inherited from one parent or in PKU, both parents must have the mutated PIT1 gene for their child to inherit the disease. This pattern of inheritance is called autosomal dominant inheritance, which means that only one copy of the mutated gene (in this case, PAG) needs to be present to cause the disorder.

PKU is a rare genetic disorder affecting about 1 in 30,000-50,000 people worldwide. It can be diagnosed through blood tests that measure levels of phenylalanine and tryptophan, as well as physical examinations to assess developmental delay and neurological symptoms. Treatment for PKU involves reducing phenylalanine intake through dietary restrictions and therapy to support the body's ability to break down tryptophan."
2,tinyllama,Phenylketonuria,treatedWith,How is Phenylketonuria treated?,Low-Phenylalanine Diet,"Phenylketonuria (PKU) is a genetic disorder that occurs when the body cannot properly break down phenylalanine, an amino acid found in certain proteins. PKU results in a buildup of unabsorbed phenylalanine in the blood, leading to mental retardation, seizures, and other neurological problems.

To treat PKU, your child should receive a prescription diet that restricts the intake of phenylalanine-containing foods such as nuts, fruits, vegetables, and caffeine-containing drinks. These restrictions can be quite strict, so it's essential to closely monitor your child's nutritional intake under the supervision of a healthcare provider.

Additionally, some medications called phenylalanine metabolites or phenylketonuria protective agents (PKAP) have been developed to help reduce the buildup of unabsorbed phenylalanine in the blood and prevent the disease from progressing further. Some PKAPs may be prescribed by a healthcare provider as an alternative to dietary restrictions.

In some cases, genetic modifications or gene therapy may offer new treatments for PKU. However, these are still under development, and they're not yet widely available to patients or caregivers."
3,tinyllama,Phenylketonuria,hasDeficientEnzyme,Which enzyme is deficient in Phenylketonuria?,Phenylalanine Hydroxylase,"Phenylalanine (Phe) and tyrosine (Tyr), which together make up the amino acid phenylalanine, are both deficient in Phenylketonuria. Both Phe and Tyr enzymes help convert phenylalanine into other forms of amino acids, including tyrosine. Without sufficient amounts of these enzymes, there can be an accumulation of Phe and Tyr in the body, leading to a metabolic disorder called Phenylketonuria (PKU). PKU affects an estimated 1-in-100,000 births worldwide."
4,tinyllama,Phenylketonuria,hasSymptom,What symptoms are associated with Phenylketonuria?,Intellectual Disability; Microcephaly,"Phenylketonuria (PKU) is a genetic disorder characterized by high levels of phenylalanine (Phe) in the blood, which can cause severe neurological damage and eventually death. Here are some common symptoms associated with PKU:

1. Severe intellectual disability: A child with PKU usually has severe intellectual disability. They may have learning difficulties, difficulty with social interaction, poor language development, and behavioral issues.

2. Developmental delays: Children with PKU may face developmental delays, including problems with speech and language.

3. Congenital heart defects: Some children with PKU may have congenital heart defects due to the build-up of too much Phe in their bodies.

4. Hypotonia (underactive) or hypotonicity (excessive swelling): Phe can accumulate in certain tissues, causing hypotonia or hypotonicity. This can lead to difficulty with sitting, walking, or other movements.

5. Seizures: Some children with PKU may have seizures, which can be a sign of underlying brain damage caused by the excessive Phe.

6. Metabolic acidosis: Phe is an acid in the bloodstream, and accumulating too much of it can cause metabolic acidosis, which can lead to weakness, headaches, and fatigue.

7. Sensory processing disorder (SPD): Some children with PKU may also have SPD, a condition characterized by difficulty processing information and understanding new situations. This can make it difficult for them to communicate or participate in daily activities."
5,tinyllama,Phenylketonuria,accumulatesMetabolite,Which metabolite accumulates in Phenylketonuria?,Phenylalanine,"Phenylacetylglutamine (PAG) is the most common and abundant metabolite that accumulates in Phenylactosaemia, also known as Phenylketonuria (PKU). It is a non-essential amino acid, which means it is produced by the body from other essential amino acids. PAG helps to transport carbohydrates and fatty acids within cells and maintains normal blood sugar levels. In PKU, PAG accumulates in the blood and urine, leading to high serum Phenylalanine (Phe) levels, which can cause severe neurological damage if not treated. Therefore, PAG is considered a critical substrate for metabolic pathways that control the synthesis, transportation, and elimination of Phe."
6,tinyllama,Phenylketonuria,hasCausativeGene,Which gene causes Phenylketonuria?,PAH,"Phenylketonuria (PKU) is caused by a mutation in the PTEN gene, located on chromosome 7 in humans. The PTEN gene provides instructions for making an enzyme called phosphatase and tensin homolog (PTEN), which helps regulate the breakdown of the amino acid phenylalanine (Phe) by the monoamine oxidase A (MAO-A) enzyme. When PTEN is absent or mutated, the MAO-A enzyme cannot properly break down and eliminate excess Phe from the bloodstream, leading to a buildup of Phe in the brain. This buildup can result in neurological symptoms such as seizures, developmental delays, and intellectual disability, among others."
7,tinyllama,Maple Syrup Urine Disease,hasInheritancePattern,What is the inheritance pattern of Maple Syrup Urine Disease?,Autosomal Recessive,"The Maple Syrup Urine Disease in the book ""The Flavour of Water"" follows the following inheritance pattern:

1. Root: The root of the tree that produces maple syrup is passed on to its offspring, and it can then also produce maple syrup.

2. Taproot: The taproot of the Syrup Urine Disease plant also produces maple syrup, which is distributed through the other branches of the tree.

3. Branches: Maple syrup produced by the Syrup Urine Disease can also be collected from the leaves and shoots of the tree. This is known as ""branch syrup"".

4. Succulent: The maple syrup produced in this way is more concentrated and flavorful than the sap that collects from the Syrup Urine Disease roots, making it a valuable commodity in the local market."
8,tinyllama,Maple Syrup Urine Disease,treatedWith,How is Maple Syrup Urine Disease treated?,Branched-Chain Amino Acid Restricted Diet,"Maple Syrup Urine Disease is an unapproved or heretical product that does not exist in the medical community or scientific literature. The exact treatment for Maple Syrup Urine Disease is not specified, and there are no documented cases of it being used as medicine. It is a hoax or a pseudoscience claim that cannot be considered valid medicine."
9,tinyllama,Maple Syrup Urine Disease,hasDeficientEnzyme,Which enzyme is deficient in Maple Syrup Urine Disease?,Branched-Chain Alpha-Ketoacid Dehydrogenase,"Maple syrup urine disease (Msud) is caused by a deficiency in the enzyme sorbitol dehydrogenase, which is required for the breakdown of fructose. A patient with Msud has severe liver damage, leading to jaundice and hepatitis, as well as kidney failure, which can be fatal if not treated properly. Sorbitol dehydrogenase is an enzyme that breaks down carbohydrates into sugars, including fructose."
10,tinyllama,Maple Syrup Urine Disease,hasSymptom,What symptoms are associated with Maple Syrup Urine Disease?,Encephalopathy; Sweet-Smelling Urine,"Maple Syrup Urine Disease (MSUD) is an inherited metabolic disorder characterized by a buildup of amino acids, especially the sugar glucose, in the urine. The disease occurs when enzymes in the liver and pancreas are not working correctly to break down certain types of sugar (glucose and fructose) into their corresponding acids (sugar and fructose).

The primary symptom of MSUD is chronic elevation of urine concentrations of glucose, fructose, and uric acid. Other symptoms associated with MSUD may include:
- Difficulty in controlling glucose levels, causing hypoglycemia
- Frequent urination and frequent urine output
- Loss of appetite due to malnutrition or anorexia
- Weight loss
- Swelling of the hands, feet, face, and other body parts
- Rashes on the skin
- Short stature (truncal obesity)

The disease has a significant impact on an affected individual's overall health and wellbeing. It can also lead to severe complications such as kidney failure or even death if not properly treated. Early detection and treatment of MSUD are critical for long-term survival, and patients with this disorder may require lifelong monitoring and management."
