id,disease,property,question,answer
1,Phenylketonuria,hasInheritancePattern,What is the inheritance pattern of Phenylketonuria?,Autosomal Recessive
2,Phenylketonuria,treatedWith,How is Phenylketonuria treated?,Low-Phenylalanine Diet
3,Phenylketonuria,hasDeficientEnzyme,Which enzyme is deficient in Phenylketonuria?,Phenylalanine Hydroxylase
4,Phenylketonuria,hasSymptom,What symptoms are associated with Phenylketonuria?,Intellectual Disability; Microcephaly
5,Phenylketonuria,accumulatesMetabolite,Which metabolite accumulates in Phenylketonuria?,Phenylalanine
6,Phenylketonuria,hasCausativeGene,Which gene causes Phenylketonuria?,PAH
7,Maple Syrup Urine Disease,hasInheritancePattern,What is the inheritance pattern of Maple Syrup Urine Disease?,Autosomal Recessive
8,Maple Syrup Urine Disease,treatedWith,How is Maple Syrup Urine Disease treated?,Branched-Chain Amino Acid Restricted Diet
9,Maple Syrup Urine Disease,hasDeficientEnzyme,Which enzyme is deficient in Maple Syrup Urine Disease?,Branched-Chain Alpha-Ketoacid Dehydrogenase
10,Maple Syrup Urine Disease,hasSymptom,What symptoms are associated with Maple Syrup Urine Disease?,Encephalopathy; Sweet-Smelling Urine
11,Maple Syrup Urine Disease,accumulatesMetabolite,Which metabolite accumulates in Maple Syrup Urine Disease?,Leucine
12,Maple Syrup Urine Disease,hasCausativeGene,Which gene causes Maple Syrup Urine Disease?,BCKDHA
13,Homocystinuria,hasInheritancePattern,What is the inheritance pattern of Homocystinuria?,Autosomal Recessive
14,Homocystinuria,treatedWith,How is Homocystinuria treated?,Vitamin B6 Supplementation
15,Homocystinuria,hasDeficientEnzyme,Which enzyme is deficient in Homocystinuria?,Cystathionine Beta-Synthase
16,Homocystinuria,hasSymptom,What symptoms are associated with Homocystinuria?,Lens Dislocation; Marfanoid Habitus; Thromboembolism
17,Homocystinuria,accumulatesMetabolite,Which metabolite accumulates in Homocystinuria?,Homocysteine
18,Homocystinuria,hasCausativeGene,Which gene causes Homocystinuria?,CBS
19,Tyrosinemia Type I,hasInheritancePattern,What is the inheritance pattern of Tyrosinemia Type I?,Autosomal Recessive
20,Tyrosinemia Type I,treatedWith,How is Tyrosinemia Type I treated?,Nitisinone Therapy
21,Tyrosinemia Type I,hasDeficientEnzyme,Which enzyme is deficient in Tyrosinemia Type I?,Fumarylacetoacetase
22,Tyrosinemia Type I,hasSymptom,What symptoms are associated with Tyrosinemia Type I?,Liver Failure; Renal Tubular Dysfunction
23,Tyrosinemia Type I,accumulatesMetabolite,Which metabolite accumulates in Tyrosinemia Type I?,Succinylacetone
24,Tyrosinemia Type I,hasCausativeGene,Which gene causes Tyrosinemia Type I?,FAH
25,Alkaptonuria,hasInheritancePattern,What is the inheritance pattern of Alkaptonuria?,Autosomal Recessive
26,Alkaptonuria,treatedWith,How is Alkaptonuria treated?,Nitisinone Therapy
27,Alkaptonuria,hasDeficientEnzyme,Which enzyme is deficient in Alkaptonuria?,"Homogentisate 1,2-Dioxygenase"
28,Alkaptonuria,hasSymptom,What symptoms are associated with Alkaptonuria?,Arthritis; Ochronosis
29,Alkaptonuria,accumulatesMetabolite,Which metabolite accumulates in Alkaptonuria?,Homogentisic Acid
30,Alkaptonuria,hasCausativeGene,Which gene causes Alkaptonuria?,HGD
31,Nonketotic Hyperglycinemia,hasInheritancePattern,What is the inheritance pattern of Nonketotic Hyperglycinemia?,Autosomal Recessive
32,Nonketotic Hyperglycinemia,treatedWith,How is Nonketotic Hyperglycinemia treated?,Sodium Benzoate Therapy
33,Nonketotic Hyperglycinemia,hasDeficientEnzyme,Which enzyme is deficient in Nonketotic Hyperglycinemia?,Glycine Decarboxylase
34,Nonketotic Hyperglycinemia,hasSymptom,What symptoms are associated with Nonketotic Hyperglycinemia?,Encephalopathy; Seizures
35,Nonketotic Hyperglycinemia,accumulatesMetabolite,Which metabolite accumulates in Nonketotic Hyperglycinemia?,Glycine
36,Nonketotic Hyperglycinemia,hasCausativeGene,Which gene causes Nonketotic Hyperglycinemia?,GLDC
37,Citrullinemia Type I,hasInheritancePattern,What is the inheritance pattern of Citrullinemia Type I?,Autosomal Recessive
38,Citrullinemia Type I,treatedWith,How is Citrullinemia Type I treated?,Protein-Restricted Diet
39,Citrullinemia Type I,hasDeficientEnzyme,Which enzyme is deficient in Citrullinemia Type I?,Argininosuccinate Synthase
40,Citrullinemia Type I,hasSymptom,What symptoms are associated with Citrullinemia Type I?,Hyperammonemia; Lethargy
41,Citrullinemia Type I,accumulatesMetabolite,Which metabolite accumulates in Citrullinemia Type I?,Citrulline
42,Citrullinemia Type I,hasCausativeGene,Which gene causes Citrullinemia Type I?,ASS1
43,Argininosuccinic Aciduria,hasInheritancePattern,What is the inheritance pattern of Argininosuccinic Aciduria?,Autosomal Recessive
44,Argininosuccinic Aciduria,treatedWith,How is Argininosuccinic Aciduria treated?,Arginine Supplementation
45,Argininosuccinic Aciduria,hasDeficientEnzyme,Which enzyme is deficient in Argininosuccinic Aciduria?,Argininosuccinate Lyase
46,Argininosuccinic Aciduria,hasSymptom,What symptoms are associated with Argininosuccinic Aciduria?,Hyperammonemia; Trichorrhexis Nodosa
47,Argininosuccinic Aciduria,accumulatesMetabolite,Which metabolite accumulates in Argininosuccinic Aciduria?,Argininosuccinic Acid
48,Argininosuccinic Aciduria,hasCausativeGene,Which gene causes Argininosuccinic Aciduria?,ASL
49,Arginase Deficiency,hasInheritancePattern,What is the inheritance pattern of Arginase Deficiency?,Autosomal Recessive
